name,state,lat,lng
Sioux Falls,SD,43.546,-96.7313
South Bend,IN,41.6764,-86.252
Spokane,WA,47.6588,-117.426
Springfield,IL,39.7817,-89.6501
Springfield,MA,42.1015,-72.5898
Springfield,MO,37.209,-93.2923
St. Louis,MO,38.627,-90.1994
Syracuse,NY,43.0481,-76.1474
Tallahassee,FL,30.4383,-84.2807
Tampa,FL,27.9506,-82.4572
Toledo,OH,41.6528,-83.5379
Topeka,KS,39.0473,-95.6752
Trenton,NJ,40.2171,-74.7429
Tucson,AZ,32.2226,-110.9747
Tulsa,OK,36.154,-95.9928
Virginia Beach,VA,36.8529,-75.978
Washington,DC,38.9072,-77.0369
Wichita,KS,37.6872,-97.3301
Wilmington,DE,39.7391,-75.5398
Worcester,MA,42.2626,-71.8023
Yakima,WA,46.6021,-120.5059
